product_category_name,product_category_name_english
beleza_saude,Health_Beauty
informatica_acessorios,Computers_Accessories
automotivo,Auto
cama_mesa_banho,Bed_Bath_Table
moveis_decoracao,Furniture_Decor
esporte_lazer,Sports_Leisure
perfumaria,Perfumery
utilidades_domesticas,Housewares
telefonia,Telephony
relogios_presentes,Watches_Gifts
alimentos_bebidas,Food_Drink
bebes,Baby
papelaria,Stationery
tablets_impressao_imagem,Tablets_Printing_Image
brinquedos,Toys
telefonia_fixa,Fixed_Telephony
ferramentas_jardim,Garden_Tools
fashion_bolsas_e_acessorios,Fashion_Bags_Accessories
eletroportateis,Small_Appliances
consoles_games,Consoles_Games
audio,Audio
fashion_calcados,Fashion_Shoes
cool_stuff,Cool_Stuff
malas_acessorios,Luggage_Accessories
climatizacao,Air_Conditioning
construcao_ferramentas_construcao,Construction_Tools_Construction
moveis_cozinha_area_de_servico_jantar_e_jardim,Kitchen_Dining_Laundry_Garden_Furniture
construcao_ferramentas_jardim,Costruction_Tools_Garden
fashion_roupa_masculina,Fashion_Male_Clothing
pet_shop,Pet_Shop
moveis_escritorio,Office_Furniture
market_place,Market_Place
eletronicos,Electronics
eletrodomesticos,Home_Appliances
artigos_de_festas,Party_Supplies
casa_conforto,Home_Confort
construcao_ferramentas_ferramentas,Costruction_Tools_Tools
agro_industria_e_comercio,Agro_Industry_And_Commerce
moveis_colchao_e_estofado,Furniture_Mattress_And_Upholstery
livros_tecnicos,Books_Technical
casa_construcao,Home_Construction
instrumentos_musicais,Musical_Instruments
moveis_sala,Furniture_Living_Room
construcao_ferramentas_iluminacao,Construction_Tools_Lights
industria_comercio_e_negocios,Industry_Commerce_And_Business
alimentos,Food
artes,Art
moveis_quarto,Furniture_Bedroom
livros_interesse_geral,Books_General_Interest
construcao_ferramentas_seguranca,Construction_Tools_Safety
fashion_underwear_e_moda_praia,Fashion_Underwear_Beach
fashion_esporte,Fashion_Sport
sinalizacao_e_seguranca,Signaling_And_Security
pcs,Computers
artigos_de_natal,Christmas_Supplies
fashion_roupa_feminina,Fashio_Female_Clothing
eletrodomesticos_2,Home_Appliances_2
livros_importados,Books_Imported
bebidas,Drinks
cine_foto,Cine_Photo
la_cuisine,La_Cuisine
musica,Music
casa_conforto_2,Home_Comfort_2
portateis_casa_forno_e_cafe,Small_Appliances_Home_Oven_And_Coffee
cds_dvds_musicais,Cds_Dvds_Musicals
dvds_blu_ray,Dvds_Blu_Ray
flores,Flowers
artes_e_artesanato,Arts_And_Craftmanship
fraldas_higiene,Diapers_And_Hygiene
fashion_roupa_infanto_juvenil,Fashion_Childrens_Clothes
seguros_e_servicos,Security_And_Services
